years_practice,school,name,title,graduate_year,specialties,insurance
20+ Years,United States International University,Dr. Chris Fragiskatos,"PhD,MA,LMFT,, ,Marriage & Family Therapist",1993,"Relationship Issues,Marital and Premarital,Family Conflict","Anthem EAP,Ceridian,Cigna,ComPsych,EAP Consultants,MHN,TRICARE,Out of Network"
10+ Years,"Alliant International University, M.A. and Psy.D.",Barbara Cunningham,"PsyD,MFT,, ,Marriage & Family Therapist",2006,"Relationship Issues,Addiction,Infidelity",Out of Network
10 Years,California School of Professional Psychology,Mary Spease,"PsyD,Psychologist,, ",2009,"Codependency,Relationship Issues,Addiction","Will provide a superbill upon request.,Out of Network"
,,Deborah A Moyer,"LMFT,, ,Marriage & Family Therapist",,"Marital and Premarital,Trauma and PTSD,Anxiety","Cigna,Health Net,MHN,TRICARE,TriWest,Out of Network"
10 Years,California School of Professional Psychology,Katie Tone,"PsyD,Psychologist,, ",2010,"Grief,Trauma and PTSD,Testing and Evaluation","Aetna,Anthem,Blue Shield,BlueCross and BlueShield,Cigna,MHN,Magellan Behavioral Health,Medicare,TRICARE,TriWest,VA Choice,Out of Network"
,,Mariana Bordas,"LMFT,, ,Marriage & Family Therapist",,"Depression,Anxiety,Relationship Issues","Aetna,Anthem,Blue Shield,Cigna,Humana,Integrated Health Plan,LifeSynch,MHN,Magellan Behavioral Health,Medica,TRICARE,TriWest,ValueOptions,Out of Network"
8 Years,,Melissa Pinn,"MFT,, ,Marriage & Family Therapist",,"Asperger's Syndrome,ADHD,Anxiety","Blue Shield,MHN,Out of Network"
31 Years,"University of California, Berkeley",Kathy J Gilbert,"LCSW,Clinical Social Work/Therapist,, ",1982,"Anxiety,Depression,Trauma and PTSD","Anthem,Blue Cross,Blue Shield,BlueCross and BlueShield,MHN,Medicare,TRICARE,Out of Network"
30+ Years,Fielding Graduate University,Caroline de Pottel,"LCSW,Clinical Social Work/Therapist,, ,PhD",2004,"Relationship Issues,Grief,Adult Children of Alcoholics","Anthem,BlueCross and BlueShield,Health Net,MHN,Multiplan,Optum,WellPoint,Out of Network"
8 Years,John F Kennedy University,Sara E Cole,"LMFT,, ,Marriage & Family Therapist",2006,"Trauma and PTSD,Pregnancy, Prenatal, Postpartum,Depression","Cigna,Out of Network"
5 Years,,Dawn Rose Galbo,"LMFT,MA,, ,Marriage & Family Therapist",2010,"Coping Skills,Trauma and PTSD,Codependency",
20+ Years,University of San Diego,Nancy C Romig,"PMHCNS,RN,DNSc, ,, ,BC",1983,"Depression,Grief,Self Esteem","BlueCross and BlueShield,TRICARE,TriWest,Out of Network"
,,Angela Rowe,"LCSW,Clinical Social Work/Therapist,, ",,"Trauma and PTSD,Addiction,Parenting",
,,Psychological Assessments and Psychotherapy,"Psychologist,, ,PhD",,"Testing and Evaluation,Anxiety,Depression","Aetna,Cigna,First Health,GEHA,MHN,Magellan Behavioral Health,Medicare,Optum,PacifiCare,TRICARE,TriWest,ValueOptions,Out of Network"
15 Years,University of San Diego,Esmeralda S Christensen,"PCC, ,, ,Marriage & Family Therapist,CCHT, ,MFT,RRT",2003,"Trauma and PTSD,Anxiety,Depression","Cigna,ComPsych,Esmeralda is seeing clients Online Only,HMSA,HMSA EAP only,Optum,TRICARE,TriWest,UnitedHealthcare,Out of Network"
10 Years,Northwestern University,Cory Stege,"LMFT,MS,, ,Marriage & Family Therapist",2008,"Relationship Issues,Marital and Premarital,Grief",Out of Network
7 Years,National University,Jessica L Townshend,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Anxiety,Trauma and PTSD,Child or Adolescent",
,National University,Rita L Bederman,"LMFT,RPT,, ,Marriage & Family Therapist",2005,"Child or Adolescent,Parenting,School Issues",
,,Donna Castelli,Marriage & Family Therapist,,"Depression,Anxiety,Mood Disorders","Aetna,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,Empire BlueCross,Free Insurance Verification,Most Private Insurance Accepted,Optum,TRICARE,UnitedHealthcare,Out of Network"
10 Years,San Diego State University,Danielle Michaelis Castillo,"MFA,LMFT,MS,, ,Marriage & Family Therapist",2006,"Anxiety,Relationship Issues,Life Coaching","Aetna,Aetna EAP,Anthem Employee Assistance Program (EAP),CalGETS Program,Ceridian,Cigna,Cigna EAP,Federal Blue Shield Plans,HSA Cards,Horizon Healthcare,Military OneSource,TRICARE,TriWest,Out of Network"
10 Years,California Institute of Integral Studies,Freda Salamy,"MFT,, ,Marriage & Family Therapist",2003,"Trauma and PTSD,Anxiety,Depression",Out of Network
4 Years,Alliant University,Kara Chilcote,"LMFT,MS,, ,Marriage & Family Therapist",2012,"Depression,Life Coaching,Men's Issues",
15+ Years,California School of Professional Psychology,Eloise Vering Foster,"Psychologist,, ,PhD",1998,"Anxiety,Depression,Family Conflict","Blue Shield,Cigna,Magellan Behavioral Health,Medicare,TRICARE,Out of Network"
2 Years,National University,Alene Mcdowell,"Marriage & Family Therapist Intern, ,IMFT,MA,, ",2015,"Trauma and PTSD,ADHD,Child or Adolescent",
,California School of Professional Psychology at Alliant International University,Jennifer Piper,"PsyD,Psychologist,, ",2015,"Anxiety,Depression,Self Esteem","Cigna,Out of Network"
,,Samantha Weinstein Lumula,"Marriage & Family Therapist Intern, ,MA",,,
5 Years,California School of Professional Psychology,Laraine Lipori,"PsyD,Psychologist,MA,, ",2009,"Depression,Anxiety,Testing and Evaluation","Medicare,Out of Network"
,,LifeSpring Center,"Marriage & Family Therapist Intern, ,EMDR,MA,II,, ",,Sexual Addiction,Out of Network
8 Years,California School of Professional Psychology,Margaret Sawires,"PsyD,Psychologist,, ",2012,"Depression,Anxiety,Relationship Issues","Aetna,Anthem,BlueCross and BlueShield,Cigna,Health Net,Magellan Behavioral Health,Medicare,PacifiCare,TRICARE,TriWest,UnitedHealthcare,Out of Network"
30+ Years,California School of Professional Psychology,The Relationship Counseling Center,"MEd,Psychologist,MAT,, ,PhD",1977,"Depression,Relationship Issues,Anxiety","Aetna,Beech Street,BlueCross and BlueShield,CCN,CNN,Cigna,Corphealth,Coventry,First Choice Health,First Health,Health Net,Humana,Magellan Behavioral Health,MediCal,Medicaid,Medicare,Multiplan,TRICARE,TriWest,UnitedHealthcare,Out of Network"
,,Ashlee Martlage,"LMFT,MA,, ,Marriage & Family Therapist",,"Bipolar Disorder,Trauma and PTSD,Anxiety",
7 Years,LA County + USC,Sandra Hah,"MD,, ,Psychiatrist",2010,"ADHD,Anxiety,Depression","Aetna,Anthem,Blue Care Network,BlueCross and BlueShield,Cigna,Empire BlueCross,Magellan Behavioral Health,NCPPO,Optum,UnitedHealthcare,WellCare,WellPoint,Out of Network"
9 Years,West Virginia University,Stephen Scherer,"Psychologist,EdD,, ",2003,"Depression,Anxiety,Relationship Issues","Aetna,Blue Shield,Cigna,Humana,LifeSynch,MHN,Magellan Behavioral Health,Medicare,Molina,Optum,TRICARE,TriWest"
20+ Years,United States International University,Donna S Scott,"LMFT,MA,, ,Marriage & Family Therapist",1986,"Relationship Issues,Spirituality,Child or Adolescent",
20+ Years,National University,Patricia A Evans,"MA,, ,LMFT,Marriage & Family Therapist,CSC,CWTS, ,CCDS, ",1994,"Dual Diagnosis,Depression,Behavioral Issues",
5 Years,San Diego State University,Ian Witter,"LMFT,MS,, ,Marriage & Family Therapist",2008,"Relationship Issues,Infidelity,Self Esteem",
16 Years,the Ohio State University,Erika Kao,"Psychologist,, ,PhD",2000,"Anxiety,Relationship Issues,Life Coaching",Out of Network
15+ Years,Massachusetts School of Professional Psych.,Dane Carlo Ripellino,"PsyD,Psychologist,, ",1991,"Grief,Spirituality",
3 Years,Cal State Hayward,Erin Cragin,"LMFT,MS,, ,Marriage & Family Therapist",1994,"Anxiety,Eating Disorders,Codependency",Out of Network
15+ Years,San Diego State University,Robin M Grossman,"LCSW,Clinical Social Work/Therapist,, ,LMFT",1988,"Depression,Anxiety,Life Transitions","Aetna,Anthem,BlueCross and BlueShield,Cigna,Healthnet ppo only,Magellan Behavioral Health,PHCS,ValueOptions"
5 Years,Alliant International University,Devon DuBois,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Marital and Premarital,Women's Issues,Relationship Issues",
30+ Years,San Diego State University,Ida Greene phd29,", ,Marriage & Family Therapist,DD,PhD,MFT,RN",,"Life Coaching,Domestic Violence,Family Conflict",
4 Years,Pepperdine University,Adia Nembhard,"LMFT,MA,, ,Marriage & Family Therapist",2009,"Child or Adolescent,Anxiety,Self Esteem",
4 Years,,Center for Fertility Counseling,"LMFT,MA,MFC,, ,Marriage & Family Therapist",2010,"Infertility,Depression,Anxiety",
4 Years,California School of Professional Psychology,Laura E Willard,"PsyD,Psychologist,, ",2013,"Depression,Anxiety,Relationship Issues","Blue Shield,Medicare"
,,Mollie Coughlin,"LMFT,MA,CEDS,, ,Marriage & Family Therapist",,"Eating Disorders,Women's Issues",Out of Network
30+ Years,SDSU,Noreen Rios,"CADC,MFT,, ,Marriage & Family Therapist",1978,"Relationship Issues,Depression,Addiction",
4 Years,Alliant International University,Donna M Chapman,"LMFT,MA,, ,Marriage & Family Therapist",2011,"Gay,Transgender,Borderline Personality","Anthem EAP,BlueCross and BlueShield,Cigna,Out of Network"
6 Years,University of Louisville,Joshua L Ruberg,"Psychologist,, ,PhD",2009,"Anxiety,Depression,Chronic Pain","Blue Cross PPO,Blue Shield PPO,Medicare,TRICARE,Out of Network"
5 Years,Brandman University,Jennifer Rehor,"LMFT,MA,, ,Marriage & Family Therapist",2012,"Relationship Issues,Anxiety,Depression",Out of Network
10 Years,Alliant International University,Sage Schuitevoerder,"Psychologist,, ,PhD",2011,"Trauma and PTSD,Anxiety,Depression","CHAMPVA,California Victim Compensation Program (CalVCP),Medicare,TRICARE,TriWest,TriWest Healthcare Alliance,Veterans Choice Program,WPS,Out of Network"
10+ Years,UCLA School of Social Welfare,Mary Elizabeth Best,"LCSW,Clinical Social Work/Therapist,, ",1984,"Life Transitions,Depression,Self Esteem","Anthem,Cigna,Medicare,TRICARE"
10+ Years,Argosy University,Heather Foster,"LMFT,, ,Marriage & Family Therapist",2002,"Relationship Issues,Coping Skills,Life Coaching",
,,Doug Zabriskie,"LMFT,MA,, ,Marriage & Family Therapist",,,
30+ Years,San Diego State,Judy Ann Saalinger,"CAS,PhD,LMFT,, ,Marriage & Family Therapist",1981,"Alcohol Abuse,Drug Abuse,Addiction","APS Healthcare,Aetna,Anthem,Blue Care Network,Blue Cross,Blue Shield,BlueCross and BlueShield,Cigna,ComPsych,Health Net,Humana,LifeSynch,MHN,Multiplan,Optum,PacifiCare,TRICARE,UnitedHealthcare,ValueOptions"
6 Years,University of Central Florida,Meghan Murphy Goode,"MA,, ,MFTI,LPCC,Counselor,LMHC",,"Self Esteem,Emotional Disturbance,Relationship Issues",
,,Rachel Stockton,"LCSW,Clinical Social Work/Therapist,, ",,"Women's Issues,Parenting,Child or Adolescent","Can provide receipt for reimbursement,Out of Network"
10 Years,Massachusetts School of Professional Psychology,Neda Khodaparast,"PsyD,Psychologist,QME,, ",,"Relationship Issues,Eating Disorders,Childhood Sexual/physical Abuse","BlueCross and BlueShield,Coventry,First Choice Health,Humana,TRICARE,TriWest,Out of Network"
21 Years,Wright State University,Russell F Fuller,"JD,PsyD,Psychologist,DCEP,, ",1996,"Trauma and PTSD,Anxiety,Addiction","Anthem,Cigna"
,,Karen Muggli,"LCSW,Clinical Social Work/Therapist,, ",,"Relationship Issues,Self Esteem,Codependency",Out of Network
10+ Years,Southern California Seminary,Denise O Petty,"PsyD,Psychological Associate, ,MFT,, ",2016,"Domestic Violence,Substance Abuse,Relationship Issues","Aetna,Out of Network"
